year,month,value
2007,5,290.5
2007,6,34.7
2007,7,25
2007,8,43
2007,9,35.6
2007,10,431.6
2007,11,402.5
2007,12,374.2
2008,1,385.5
2008,2,219.9
2008,3,221.9
2008,4,204.1
2008,5,210.3
2008,6,129.1
2008,7,79.5
2008,8,206.5
2008,9,101.9
2008,10,421.4
2008,11,454.6
2008,12,298.7
2009,1,150
2009,2,94
2009,3,260.1
2009,4,122.5
2009,5,230.8
2009,6,80.2
2009,7,35.7
2009,8,29.1
2009,9,50.4
2009,10,241.6
2009,11,241.6
2009,12,391.4
2010,1,42.8
2010,2,150.7
2010,3,25.5
2010,4,227.7
2010,5,138.6
2010,6,144.9
2010,7,145.5
2010,8,80.8
2010,9,105.3
2010,10,338.9
2010,11,299.5
2010,12,224.9
2011,1,191.8
2011,2,419.5
2011,3,381.6
2011,4,235.4
2011,5,239.5
2011,6,84.1
2011,7,108
2011,8,54
2011,9,66
2011,10,309.1
2011,11,483.8
2011,12,397.1
2012,1,372.1
2012,2,200.4
2012,3,129.5
2012,4,250.2
2012,5,79.9
2012,6,56.9
2012,7,4.7
2012,8,43.2
2012,9,9.1
2012,10,360.3
2012,11,314.5
2012,12,178
2013,1,187.9
2013,2,114.2
2013,3,147.6
2013,4,136.3
2013,5,233.4
2013,6,46.4
2013,7,28.4
2013,8,50.8
2013,9,110.3
2013,10,172.2
2013,11,314.1
2013,12,372.6
2014,1,262.2
2014,2,329.1
2014,3,410.8
2014,4,146.6
2014,5,175.8
2014,6,43.8
2014,7,8.2
2014,8,19.8
2014,9,95.8
2014,10,276.6
2014,11,362.2
2014,12,340.4
2015,1,111.3
2015,2,242
2015,3,220.1
2015,4,171.2
2015,5,102.9
2015,6,37.3
2015,7,14
2015,8,5.6
2015,9,42.3
2015,10,183.7
2015,11,123
2015,12,27.3
2016,1,134.8
2016,2,115.2
2016,3,162.2
2016,4,283.2
2016,5,166.8
2016,6,47.5
2016,7,36.2
2016,8,8.4
2016,9,104.4
2016,10,368.1
2016,11,164.4
2016,12,354.4
