Date,Open,High,Low,Close
3/10/2016,774.25,776.065.002,769.5,772.559.998
4/10/2016,776.030.029,778.710.022,772.890.015,776.429.993
5/10/2016,779.309.998,782.070.007,775.650.024,776.469.971
6/10/2016,779,78.047.998,775.539.978,776.859.985
7/10/2016,779.659.973,779.659.973,770.75,775.080.017
