Date;Open;High;Low;Close
3/10/2016;774,25;776,065;769,5;772,56
4/10/2016;776,3;778,71;772,89;776,43
5/10/2016;779,309;782,07;775,65;776,47
6/10/2016;779;780,479;775,54;776,86
7/10/2016;779,659;779,659;770,75;775,08
